# StartTime = 02/03/2026 11:20:39.6323 AM
Time (sec), Vehicle speed (MPH), Mass air flow rate (lb/min), Latitude (deg), Longitude (deg), Trip Fuel Economy (MPG), Total Fuel Economy (MPG), Fuel Rate (gal/hr), Total CO2 (lbs), CO2 flow (lb/min), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Fuel system 1 status, Fuel system 2 status, Calculated load value (%), Engine coolant temperature (°F), Short term fuel % trim - Bank 1 (%), Long term fuel % trim - Bank 1 (%), Engine RPM (RPM), Intake manifold absolute pressure (inHg), Mass air flow rate (lb/min), Intake air temperature (°F), O2 voltage (Bank 1  Sensor 2) (V), Short term fuel trim (Bank 1  Sensor 2) (%)
57.428,12.4274235,2.995272,42.08142,-73.95468,3.405278,29.923512,1.9004964,775.8042,0.6206969,4.5773287,4.2810636,2,0,71.37255,77,-3.90625,8.59375,1774,20.080467,2.701178,14,0.12,-3.125
59.859,15.53428,2.828574,42.081448,-73.95448,3.6945376,29.92271,1.9892389,775.83044,0.64967996,6.247326,3.1366756,2,0,62.7451,77,-2.34375,8.59375,1919,18.013361,2.621172,14,0.515,-0.78125
62.438,17.398394,2.489886,42.081455,-73.95418,4.102522,29.922009,1.8785304,775.8556,0.6135228,8.269379,2.3696864,2,0,53.72549,77,-0.78125,8.59375,1930,15.946254,2.3336825,12.2,0.055,0
64.882,18.019764,1.459269,42.08147,-73.95397,4.56107,29.921461,1.6535988,775.8775,0.5400608,10.521533,1.8624506,2,0,36.47059,77,1.5625,8.59375,1747,11.516739,1.5314461,12.2,0.305,-2.34375
67.453,16.777021,1.800603,42.081505,-73.95368,5.188492,29.921253,0.9691389,775.8918,0.3165181,18.593582,1.0539031,2,0,44.705883,77,-1.5625,8.59375,1831,14.76505,2.0577972,12.2,0.04,-3.125
69.893,17.398394,1.987146,42.08152,-73.9535,5.610304,29.920925,1.1958278,775.9077,0.39055407,14.029631,1.3967463,2,0,45.490196,77,0.78125,8.59375,1869,14.469749,2.0584939,12.2,0.175,-2.34375
72.462,18.019764,2.205441,42.08155,-73.9532,5.983741,29.920547,1.3197159,775.92523,0.43101558,13.183438,1.4863979,2,0,47.843136,77,-1.5625,8.59375,1965,17.127459,2.5617383,12.2,0.06,-2.34375
74.884,19.262506,3.079944,42.081566,-73.95299,6.315324,29.92011,1.4646914,775.9445,0.47836417,12.3027725,1.5927982,2,0,52.54902,77,0,8.59375,2059,14.469749,2.2677577,12.2,0.655,-1.5625
77.459,19.883879,1.866753,42.08158,-73.95267,6.546709,29.919315,2.045472,775.9747,0.66804546,9.417147,2.0808678,2,0,39.60784,77,-0.78125,8.59375,1513,14.76505,1.700408,12.2,0.07,-7.8125
79.903,18.641136,2.644677,42.081596,-73.95246,6.9151564,29.919018,1.2397598,775.9911,0.40490213,16.038492,1.2218002,2,0,63.137257,77,-5.46875,8.59375,1667,16.832157,2.1357708,12.2,0.05,-0.78125
